p_state,p_cap_dc 2020,p_cap_ac 2020,p_area 2020,p_cap_dc 2021,p_cap_ac 2021,p_area 2021,p_cap_dc 2022,p_cap_ac 2022,p_area 2022,p_cap_dc 2023,p_cap_ac 2023,p_area 2023,p_cap_dc 2024,p_cap_ac 2024,p_area 2024
Alabama,523.5,1225.6000000000001,8358618.6,817.5,1452.6000000000001,14124966.6,817.5,1452.6000000000001,14124966.6,817.5,1452.6000000000001,14124966.6,817.5,1452.6000000000001,14124966.6
Alaska,3.4,13.5,8759.5,3.4,13.5,8759.5,3.4,13.5,8759.5,11.8,19.5,180764.5,11.8,19.5,180764.5
Arizona,3034.2999999999997,7720.699999999999,57188662.9,3503.4999999999995,8100.699999999999,66442386.9,3836.1999999999994,8378.8,73971333.9,4797.099999999999,9228.4,95505633.9,5364.599999999999,9795.9,109259141.9
Arkansas,463.90000000000003,1589.5000000000002,6624339.4,481.1,1602.8000000000002,6961363.4,498.40000000000003,1616.0000000000002,7315478.4,1085.6000000000001,2088.7000000000003,18765441.4,1267.3000000000002,2270.4,23775350.4
California,16989.2,35758.4,311396492.6,19127.3,37585.4,371403325.6,20068.7,38386.5,394453218.6,21595.0,39677.9,426238268.6,22415.7,40498.6,453133792.6
Colorado,1176.4,3630.9,22494379.5,1953.2,4216.8,36917390.5,2243.7,4497.1,42847536.5,2622.2,4793.1,50824461.5,2625.6,4796.5,50998198.5
Connecticut,228.60000000000002,559.3000000000001,3767391.0,340.70000000000005,646.4000000000001,4749207.0,383.70000000000005,677.4000000000001,5320744.0,384.90000000000003,678.4000000000001,5332740.0,402.50000000000006,696.0000000000001,5524539.0
DC,11.5,42.400000000000006,52991.1,22.1,50.400000000000006,115227.1,23.6,51.60000000000001,137483.1,24.700000000000003,52.70000000000001,146359.1,33.1,61.10000000000001,267414.1
Delaware,46.90000000000001,156.9,685437.5,46.90000000000001,156.9,685437.5,46.90000000000001,156.9,685437.5,113.10000000000002,208.4,1614886.5,119.20000000000002,214.5,1768749.5
Florida,5446.0,15790.400000000001,74227139.3,7182.5,17089.800000000003,97831185.3,8279.6,17972.9,112482512.3,10020.300000000001,19604.600000000002,142562526.3,11884.000000000002,21468.300000000003,182296455.3
Georgia,3286.2000000000003,8086.5,54007277.6,4506.3,8955.4,69879927.6,4948.900000000001,9307.199999999999,76904969.6,5536.1,9796.599999999999,87770444.6,5696.1,9956.599999999999,91267338.6
Hawaii,396.79999999999995,868.2,5400065.8,400.59999999999997,871.3000000000001,5423786.8,450.7,910.3000000000001,5872835.8,486.7,946.3000000000001,6304227.8,559.2,1018.8000000000001,7600410.8
Idaho,323.1,861.0,6744100.0,323.1,861.0,6744100.0,479.0,981.0,9887407.0,519.0,1021.0,10821496.0,619.0,1121.0,13282012.0
Illinois,186.1,1745.4,2941401.2,898.6,2280.9,15208524.2,1215.9,2512.6,20669205.2,1560.6000000000001,2823.5,26505850.2,1599.3000000000002,2862.2,27418655.2
Indiana,346.79999999999995,2082.8,5447460.2,741.5999999999999,2418.3,9250483.2,771.9999999999999,2441.9,9653279.2,1616.8999999999999,3094.2,33190240.2,1816.8999999999999,3294.2,36333132.2
Iowa,22.299999999999997,399.50000000000006,313294.8,150.3,499.50000000000006,2678608.8,317.3,639.0,5772829.8,322.5,643.0,5851701.8,382.3,702.8,7508436.8
Kansas,40.4,86.4,768885.6,44.599999999999994,89.4,838647.6,48.99999999999999,92.7,882683.6,54.199999999999996,96.60000000000001,975732.6,56.199999999999996,98.60000000000001,1015134.6
Kentucky,38.4,199.29999999999998,457551.7,108.69999999999999,256.9,1640654.7,108.69999999999999,256.9,1640654.7,114.6,261.4,1804747.7,170.89999999999998,317.7,2854345.7
Louisiana,107.19999999999999,559.2,1637038.2,107.19999999999999,559.2,1637038.2,189.7,609.2,2953303.2,484.7,829.2,7992750.2,484.7,829.2,7992750.2
Maine,91.19999999999999,726.1999999999999,657680.4,293.2,867.5999999999999,2612722.4,482.79999999999995,1008.8999999999999,5153943.4,643.0999999999999,1131.1999999999998,7024463.4,661.3,1149.3999999999999,7370595.4
Maryland,474.00000000000006,1136.1,5856460.7,548.9000000000001,1188.3,6614401.7,689.8000000000001,1297.8,7677655.7,745.6,1346.8999999999999,8160778.7,777.4,1378.6999999999998,8572003.7
Massachusetts,1372.6,2861.0999999999995,18963899.8,1692.3,3071.6999999999994,22404925.8,1775.5,3128.4999999999995,23342261.8,1795.0,3141.9999999999995,23571652.8,1804.8,3151.7999999999997,23714530.8
Michigan,307.2,1533.8,5019309.0,491.0,1661.5,7629085.0,939.8,1995.5,14141490.0,1282.4,2243.0,23065268.0,1302.4,2263.0,23572707.0
Minnesota,1394.1,2680.5,24031921.2,1502.0,2762.7,25916939.2,1607.9,2856.6,27179922.2,1669.3000000000002,2906.2,28227063.2,1672.3000000000002,2909.2,28294031.2
Mississippi,415.4,1056.1,7655826.9,416.9,1057.3,7668299.9,416.9,1057.3,7668299.9,558.9,1163.3999999999999,10136074.9,737.4,1341.8999999999999,13766990.9
Missouri,72.89999999999999,182.2,1047211.4,105.69999999999999,205.7,1478813.4,122.99999999999999,219.39999999999998,1713600.4,122.99999999999999,219.39999999999998,1713600.4,122.99999999999999,219.39999999999998,1713600.4
Montana,183.5,360.5,3866042.5,183.5,360.5,3866042.5,183.5,360.5,3866042.5,183.5,360.5,3866042.5,183.5,360.5,3866042.5
Nebraska,35.8,160.50000000000006,604949.0,39.5,163.50000000000006,670082.0,51.8,172.00000000000006,852502.0,51.8,172.00000000000006,852502.0,132.8,253.00000000000006,2222717.0
Nevada,2930.5,7782.500000000001,48738095.3,3819.2,8493.5,62292208.3,4085.7,8698.5,66121338.3,4483.7,9013.3,82046794.3,5483.7,10013.3,110204854.3
New Hampshire,3.0,5.4,36251.4,3.0,5.4,36251.4,3.0,5.4,36251.4,3.0,5.4,36251.4,3.0,5.4,36251.4
New Jersey,1206.1,2405.3,14726854.5,1280.1999999999998,2461.7000000000003,15458912.5,1381.6,2537.7000000000003,16375051.5,1432.5,2579.7000000000003,16891287.5,1434.3,2581.5000000000005,16924200.5
New Mexico,969.4999999999999,2748.6,20717370.9,1006.1999999999999,2778.9,21357496.9,1006.1999999999999,2778.9,21357496.9,1298.0,3048.9,27889076.9,1988.0,3738.9,41965540.9
New York,1062.3,3156.3999999999996,15313125.1,1612.9,3557.9999999999995,22847699.1,1971.9,3834.5999999999995,27698493.1,2178.5,4017.1999999999994,30882996.1,2374.4,4213.099999999999,34221775.1
North Carolina,7063.699999999999,14092.800000000001,103419954.4,8108.799999999999,14879.400000000001,119368391.4,8341.8,15049.900000000001,122607488.4,8752.4,15346.000000000002,127517731.4,8864.8,15458.400000000001,129689209.4
Ohio,141.59999999999997,3088.3000000000006,2505822.3,629.0,3456.8000000000006,10167376.3,682.8,3509.7000000000007,11511195.3,2324.5,4750.300000000001,32008075.3,2976.5,5402.300000000001,45900301.3
Oklahoma,51.900000000000006,215.2,1075254.2,54.7,220.2,1113932.2,54.7,220.2,1113932.2,54.7,220.2,1113932.2,174.7,340.2,3232212.2
Oregon,1011.1,2055.1,19454928.5,1186.7,2202.6,22593085.5,1200.2,2213.2999999999997,22770934.5,1258.4,2270.7999999999997,23921258.5,1267.1000000000001,2279.4999999999995,24072444.5
Pennsylvania,235.10000000000002,812.4,3757505.4,264.90000000000003,839.8,4067693.4,264.90000000000003,839.8,4067693.4,522.5,1065.4,8267720.4,622.5,1165.4,10073918.4
Rhode Island,233.89999999999998,681.6999999999999,3014456.0,298.5,732.4,3744743.0,354.5,774.8,4314687.0,485.0,882.0999999999999,5799772.0,496.9,893.9999999999999,5957286.0
South Carolina,1755.0,3389.7000000000003,29771478.9,1785.9,3411.7000000000003,30246476.9,1912.4,3506.3,32344479.9,2070.5,3644.9,35610075.9,2086.5,3660.9,35927361.9
South Dakota,1.3,229.2,26449.2,1.3,229.2,26449.2,1.3,229.2,26449.2,100.2,309.2,1640146.2,228.2,437.2,4658224.2
Tennessee,438.9,1066.1,7927229.8,438.9,1066.1,7927229.8,538.4,1156.8,9955161.8,717.9,1295.8,12767782.8,733.9,1311.8,13127919.8
Texas,7136.099999999999,26606.40000000001,158146247.3,12807.0,30891.000000000007,257987832.3,15069.7,32617.300000000007,301026638.3,18729.9,35890.00000000001,394077445.3,21024.2,38184.30000000001,443641752.3
Utah,1654.2999999999997,3770.7,35168792.3,2001.7999999999997,4036.2,41363041.3,2003.7999999999997,4037.7,41393555.3,2094.9999999999995,4127.3,43670849.3,2494.9999999999995,4527.3,54709605.3
Vermont,167.5,321.1,2839204.0,179.1,329.3,2991022.0,185.1,333.6,3079899.0,195.6,342.0,3260618.0,195.6,342.0,3260618.0
Virginia,2156.8,6509.1,32687704.0,3477.0,7535.8,53858710.0,3891.2,7868.0,60335703.0,4610.8,8520.5,70257437.0,4869.3,8779.0,76161964.0
Washington,38.7,273.5,863609.5,38.7,273.5,863609.5,246.10000000000002,433.5,5562457.5,246.10000000000002,433.5,5562457.5,246.10000000000002,433.5,5562457.5
West Virginia,0.0,114.9,229.8,0.0,114.9,229.8,0.0,114.9,229.8,0.0,114.9,229.8,114.9,229.8,1431151.8
Wisconsin,310.3,2505.7,4679395.4,707.7,2808.2,11713867.4,1051.7,3070.8999999999996,17636013.4,2065.0,3882.2,34027792.4,2282.2,4099.4,38620410.4
Wyoming,98.0,328.0,1715169.0,98.0,328.0,1715169.0,98.0,328.0,1715169.0,98.0,328.0,1715169.0,248.0,478.0,4723787.0
