YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(MEGAWATTHOURS)"
2020,1,Alaska,Total Electric Power Industry,Wind,11230
2020,1,Alaska,"Electric Generators, Independent Power Producers",Wind,4490
2020,1,Alaska,"Electric Generators, Electric Utilities",Wind,6739
2020,1,Alabama,Total Electric Power Industry,Solar Thermal and Photovoltaic,18058
2020,1,Alabama,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,16702
2020,1,Alabama,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,1356
2020,1,Arkansas,Total Electric Power Industry,Solar Thermal and Photovoltaic,10565
2020,1,Arkansas,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,898
2020,1,Arkansas,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,9592
2020,1,Arkansas,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,74
2020,1,Arizona,Total Electric Power Industry,Solar Thermal and Photovoltaic,340830
2020,1,Arizona,Total Electric Power Industry,Wind,42839
2020,1,Arizona,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,691
2020,1,Arizona,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,297867
2020,1,Arizona,"Electric Generators, Independent Power Producers",Wind,42839
2020,1,Arizona,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,42272
2020,1,California,Total Electric Power Industry,Solar Thermal and Photovoltaic,1534236
2020,1,California,Total Electric Power Industry,Wind,762973
2020,1,California,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,1995
2020,1,California,"Combined Heat and Power, Industrial Power",Wind,154
2020,1,California,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,8346
2020,1,California,"Combined Heat and Power, Commercial Power",Wind,604
2020,1,California,"Combined Heat and Power, Electric Power",Solar Thermal and Photovoltaic,379
2020,1,California,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1500229
2020,1,California,"Electric Generators, Independent Power Producers",Wind,734487
2020,1,California,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,23287
2020,1,California,"Electric Generators, Electric Utilities",Wind,27728
2020,1,Colorado,Total Electric Power Industry,Solar Thermal and Photovoltaic,75138
2020,1,Colorado,Total Electric Power Industry,Wind,1234554
2020,1,Colorado,"Combined Heat and Power, Industrial Power",Wind,292
2020,1,Colorado,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,922
2020,1,Colorado,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,73728
2020,1,Colorado,"Electric Generators, Independent Power Producers",Wind,995568
2020,1,Colorado,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,488
2020,1,Colorado,"Electric Generators, Electric Utilities",Wind,238694
2020,1,Connecticut,Total Electric Power Industry,Solar Thermal and Photovoltaic,11174
2020,1,Connecticut,Total Electric Power Industry,Wind,998
2020,1,Connecticut,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,6
2020,1,Connecticut,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,239
2020,1,Connecticut,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,10751
2020,1,Connecticut,"Electric Generators, Independent Power Producers",Wind,998
2020,1,Connecticut,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,178
2020,1,District of Columbia,Total Electric Power Industry,Solar Thermal and Photovoltaic,682
2020,1,District of Columbia,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,682
2020,1,Delaware,Total Electric Power Industry,Solar Thermal and Photovoltaic,3032
2020,1,Delaware,Total Electric Power Industry,Wind,559
2020,1,Delaware,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,31
2020,1,Delaware,"Combined Heat and Power, Commercial Power",Wind,559
2020,1,Delaware,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,2639
2020,1,Delaware,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,362
2020,1,Florida,Total Electric Power Industry,Solar Thermal and Photovoltaic,357326
2020,1,Florida,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,217
2020,1,Florida,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,609
2020,1,Florida,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,36983
2020,1,Florida,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,319517
2020,1,Georgia,Total Electric Power Industry,Solar Thermal and Photovoltaic,180091
2020,1,Georgia,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,194
2020,1,Georgia,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,161267
2020,1,Georgia,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,18629
2020,1,Hawaii,Total Electric Power Industry,Solar Thermal and Photovoltaic,24195
2020,1,Hawaii,Total Electric Power Industry,Wind,48627
2020,1,Hawaii,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,19361
2020,1,Hawaii,"Electric Generators, Independent Power Producers",Wind,48627
2020,1,Hawaii,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,4834
2020,1,Iowa,Total Electric Power Industry,Solar Thermal and Photovoltaic,721
2020,1,Iowa,Total Electric Power Industry,Wind,2408831
2020,1,Iowa,"Combined Heat and Power, Commercial Power",Wind,377
